first_name,last_name,pesel,city
Jan,Kowalski,85042503639,Warsaw
Anna,Nowak,85031802492,Krakow
Piotr,Wójcik,85010506083,Gdansk
Maria,Kaczmarek,85091305368,Wroclaw
Tomasz,Kaminski,85020903111,Poznan
Katarzyna,Lewandowska,85070306489,Lodz
Michal,Walczak,85041303826,Szczecin
Ewa,Grabowska,85102006794,Bydgoszcz
Adam,Kubiak,85041701185,Lublin
Magdalena,Zielinska,85012002433,Bialystok
Rafal,Stanczyk,85050207621,Kielce
Agnieszka,Wroblewska,85081000408,Rzeszow
Marek,Kowalczyk,85042702600,Olsztyn
Joanna,Szymanska,85040109216,Torun
Piotr,Gorski,85010700915,Gliwice
Monika,Brzezinska,85071306433,Opole
Lukasz,Makowski,85102202136,Sopot
Natalia,Malinowska,85032402828,Elblag
Kamil,Pawlowski,85041201667,Radom
Karolina,Kozlowska,85030206295,Tarnow
